"","species","beta_yr","se_yr","p_yr"
"1","AGOL",-0.365169073006154,0.0275414988284493,4.00906336104978e-40
"2","AMCO",-0.480180127602117,0.228057470059433,0.0352458534941243
"3","AMCR",-0.135456662763311,0.0103445227541357,3.53858299383356e-39
"4","AMRO",-0.160136452027062,0.0127794580843772,5.06682354292035e-36
"5","AMWI",-0.0224402411288173,0.12683483643493,0.859567377450655
"6","ANHU",0.191897167265825,0.0118385188937421,4.31656774743639e-59
"7","BAEA",0.0135722594221874,0.0873070381405275,0.876463134751461
"8","BAGO",-0.587406618323755,0.305233769134556,0.0542984110074194
"9","BAOW",0.0897346047505693,0.33943416265506,0.791498468752998
"10","BARS",-0.735256227555624,0.0985266163699274,8.48871652566906e-14
"11","BCCH",0.0075012238184425,0.0134317330776563,0.576523289106074
"12","BEKI",-0.00252520426661019,0.144437978259138,0.986051321913752
"13","BEWR",0.0131804955417262,0.013421078351293,0.326063267029938
"14","BHCO",-0.470189387334781,0.0966679426899308,1.15057884693962e-06
"15","BHGR",0.0309587812764305,NA,NA
"16","BRAN",-0.689827239589627,0.59884474786375,0.249349832971426
"17","BRCR",0.287345651620171,0.0244231245903445,5.89090016030999e-32
"18","BTPI",-0.253878522516948,0.113269020219009,0.0250016960337832
"19","BTYW",0.481751964129984,0.145320452219761,0.000916100463054308
"20","BUFF",-0.232605438796431,0.0457129214851603,3.61105055497424e-07
"21","BUOR",-1.22450207949815,0.809518494935063,0.130373632204211
"22","BUSH",-0.306387945185717,0.0905989771515968,0.000720116151413998
"23","CAGU",0.0408369945930299,0.135039169667338,0.762340665387608
"24","CANG",-0.0284719381720185,0.129905447597538,0.826514258646644
"25","CANV",-0.811719309971311,0.695306799967038,0.243038333557258
"26","CAQU",-1.74614705675387,0.640428823170469,0.00640045406248289
"27","CATE",0.469204980474823,0.150965202006812,0.00188336400448952
"28","CBCH",0.373431906676115,0.0278795251960672,6.51254394597084e-41
"29","CEDW",-0.157445565591243,0.0923973816407369,0.0883802233188168
"30","CLSW",-0.757675402529338,0.22552719771614,0.000780626256390666
"31","COGO",0.0669501692117083,0.0625094993246812,0.284151480067217
"32","COHA",0.119790172313653,0.135398686917072,0.376306685817831
"33","COLO",-0.363760817674337,0.535980891081456,0.497339096315495
"34","COME",0.0319849921054845,0.127914342692014,0.802548617282819
"35","CORA",1.48904316211157,0.28499787659037,1.74388890276333e-07
"36","COYE",0.505418788696982,0.119115962528796,2.20470894518542e-05
"37","DCCO",-0.00490826596575076,0.0407332457217837,0.904088832612008
"38","DEJU",0.734602257478222,0.0227593316492973,1.47242778038392e-228
"39","DOWO",0.0640179684750708,0.0748999133217051,0.392709764579991
"40","EUST",-0.685965545667917,0.0825397916411664,9.51187788084694e-17
"41","EUWI",-0.139688537950586,0.466281045511524,0.764497439574662
"42","EVGR",-0.319974925449899,0.446471547862327,0.473574753433856
"43","FOSP",0.0503761754459886,0.0450422525426917,0.263387472935136
"44","GADW",-0.337847270893284,0.099346177812666,0.000672117558726238
"45","GBHE",0.0155867202088587,0.0969067022570203,0.87221741872233
"46","GCKI",-0.0709915794743351,0.0212656195750163,0.000842846751375472
"47","GCSP",-0.179763487027055,0.140138960977815,0.199579089199509
"48","GRSC",-0.243134005244369,0.274655298394994,0.376030837100143
"49","GWGU",-0.0996628748197316,0.0236552868778556,2.51852421847156e-05
"50","GWTE",-0.441408639030724,NA,NA
"51","HAFL",0.121704852039722,NA,NA
"52","HAWO",0.164915840237625,0.290088104849823,0.569693744490657
"53","HEEG",-0.36959210729442,0.508088738227504,0.466970879092219
"54","HETH",0.232403929591984,0.276037966032787,0.399828587037144
